"id","name","parent_id","date"
"2","Ariel","8384","1988-10-21"
"3","Varjoja paratiisissa","8384","1986-10-17"
"4","État de siège",\N,"1972-12-30"
"5","Four Rooms",\N,"1995-12-22"
"6","Judgment Night",\N,"1993-10-15"
"8","Megacities - Life in Loops",\N,"2006-01-01"
"9","Sonntag, im August",\N,"2004-09-22"
"11","Star Wars: Episode IV – A New Hope","10","1977-05-25"
"12","Finding Nemo","112246","2003-05-30"
"13","Forrest Gump",\N,"1994-06-23"
"14","American Beauty",\N,"1999-09-08"
"15","Citizen Kane",\N,"1941-05-01"
"16","Dancer in the Dark","498","2000-05-17"
"17","The Dark",\N,"2005-10-14"
"18","The Fifth Element",\N,"1997-05-07"
"19","Metropolis",\N,"1927-01-10"
"20","My Life Without Me",\N,"2003-09-04"
"21","The Endless Summer",\N,"1966-06-15"
"22","Pirates of  the Caribbean: The Curse of the Black Pearl","295","2003-07-09"
"24","Kill Bill Vol. 1","2883","2003-10-10"
"25","Jarhead","108229","2005-11-04"
"26","ללכת על המים",\N,"2004-02-05"
"27","9 Songs",\N,"2005-07-22"
"28","Apocalypse Now",\N,"1979-05-10"
"30","Kanojo No Omoide","29","1995-12-23"
"31","Saishu Heiki","29","1995-12-23"
"32","Taiho No Machi","29","1995-12-23"
"33","Unforgiven",\N,"1992-08-07"
"35","The Simpsons Movie","34","2007-07-27"
"38","Eternal Sunshine of the Spotless Mind",\N,"2004-03-19"
"55","Amores perros",\N,"2000-05-14"
"58","Pirates of the Caribbean: Dead Man's Chest","295","2006-07-07"
"59","A History of Violence",\N,"2005-09-23"
"62","2001: A Space Odyssey","4438","1968-04-06"
"63","Twelve Monkeys",\N,"1995-12-27"
"64","Hable con ella",\N,"2002-03-15"
"65","8 Mile",\N,"2002-11-08"
"66","Absolute Power",\N,"1997-02-14"
"67","الجنة الآن",\N,"2005-02-14"
"68","Brazil",\N,"1985-02-20"
"69","Walk the Line",\N,"2005-11-18"
"70","Million Dollar Baby",\N,"2004-12-15"
"71","Billy Elliot",\N,"2000-05-19"
"73","American History X",\N,"1998-10-30"
"74","War of the Worlds",\N,"2005-06-29"
"75","Mars Attacks!",\N,"1996-12-13"
"76","Before Sunrise","91923","1995-01-27"
"77","Memento",\N,"2000-09-05"
"78","Blade Runner","112760","1982-06-25"
"79","英雄",\N,"2002-10-19"
"80","Before Sunset","91923","2004-02-10"
"81","風の谷のナウシカ",\N,"1984-03-11"
"82","Miami Vice",\N,"2006-07-28"
"83","Open Water","16211","2004-08-20"
"85","Raiders of the Lost Ark","84","1981-06-12"
"86","Elementarteilchen",\N,"2006-02-12"
"87","Indiana Jones and the Temple of Doom","84","1984-05-23"
"88","Dirty Dancing","14570","1987-05-12"
"89","Indiana Jones and the Last Crusade","84","1989-05-24"
"90","Beverly Hills Cop","305","1984-12-05"
"91","Las Hurdes",\N,"1933-01-01"
"92","Megacities",\N,"1998-08-02"
"93","Anatomy of a Murder",\N,"1959-07-01"
"94","Kunstgriff",\N,"2002-05-18"
"95","Armageddon",\N,"1998-07-01"
"96","Beverly Hills Cop II","305","1987-05-20"
"97","Tron","30872","1982-07-09"
"98","Gladiator","275097","2000-05-05"
"99","Todo sobre mi madre",\N,"1999-04-16"
"100","Lock, Stock and Two Smoking Barrels",\N,"1998-08-28"
"101","Léon",\N,"1994-11-18"
"102","Elsker Dig For Evigt",\N,"2002-08-23"
"103","Taxi Driver",\N,"1976-02-08"
"104","Lola rennt",\N,"1998-08-20"
"105","Back to the Future","264","1985-07-03"
"106","Predator","399","1987-06-12"
"107","Snatch",\N,"2000-12-08"
"108","Trois Couleurs: Bleu","131","1993-09-08"
"109","Trois Couleurs: Blanc","131","1994-01-16"
"110","Trois Couleurs: Rouge","131","1994-05-01"
"111","Scarface",\N,"1983-12-09"
"112","Italiensk For Begyndere",\N,"2000-01-17"
